system:index,ET_mm,NDVI,P_mm,SM,T2m_C,date_str,station_id,.geo
6_00000000000000000002,0.0,0.7517514453477868,36.232456496737505,0.41134635284341114,20.07636643765528,2010-07-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000003,0.0,0.7562346975088967,68.09389539291001,0.2496162767512094,17.891148555660607,2010-07-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000004,0.0,0.7074821523472099,64.5584108742916,0.2939875884009633,12.95617392500279,2010-07-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000005,0.0,0.8551352068345326,34.203295772881816,0.37835642588224344,19.060396526528802,2010-07-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000006,0.0,0.6890402991840436,51.05915522294378,0.4711947817210166,15.216338209358025,2010-07-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000007,0.0,0.7025078947368423,46.79087417833939,0.293916850298457,23.23838025653716,2010-07-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000008,0.0,0.6458241748438894,36.58438496585406,0.20730823581501592,24.503548772371232,2010-07-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00000000000000000009,0.0,0.8196631810193322,78.00059681240411,0.2802467145065013,15.956075025400942,2010-07-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000000,0.0,0.5878530941704038,75.7988103276411,0.2714334804380956,21.825371137542064,2010-08-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000001,0.0,0.6808467176258993,80.95318816891678,0.3286915237097432,11.19532374100722,2010-08-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000002,0.0,0.764970867208672,76.78030784903285,0.41664368888765385,17.790105710464672,2010-08-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000003,0.0,0.7379687277580071,94.71460444901761,0.26537551065356707,15.452927428547618,2010-08-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000004,0.0,0.6791486271036317,77.58567429602518,0.26546005911273807,10.849219139241056,2010-08-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000005,0.0,0.8350348021582735,89.07502044705178,0.3458123515835769,17.23106663107017,2010-08-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
